survived,sex,passenger_class,name,age,fare,n_siblings_spouses_aboard,n_parents_children_aboard
No,Male,Third,Mr. Owen Harris Braund,22,7.25,1,0
Yes,Female,First,Mrs. John Bradley (Florence Briggs Thayer) Cumings,38,71.2833,1,0
Yes,Female,Third,Miss. Laina Heikkinen,26,7.925,0,0
Yes,Female,First,Mrs. Jacques Heath (Lily May Peel) Futrelle,35,53.1,1,0
No,Male,Third,Mr. William Henry Allen,35,8.05,0,0
No,Male,Third,Mr. James Moran,27,8.4583,0,0
No,Male,First,Mr. Timothy J McCarthy,54,51.8625,0,0
No,Male,Third,Master. Gosta Leonard Palsson,2,21.075,3,1
Yes,Female,Third,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,27,11.1333,0,2
Yes,Female,Second,Mrs. Nicholas (Adele Achem) Nasser,14,30.0708,1,0
Yes,Female,Third,Miss. Marguerite Rut Sandstrom,4,16.7,1,1
Yes,Female,First,Miss. Elizabeth Bonnell,58,26.55,0,0
No,Male,Third,Mr. William Henry Saundercock,20,8.05,0,0
No,Male,Third,Mr. Anders Johan Andersson,39,31.275,1,5
No,Female,Third,Miss. Hulda Amanda Adolfina Vestrom,14,7.8542,0,0
Yes,Female,Second,Mrs. (Mary D Kingcome) Hewlett,55,16,0,0
No,Male,Third,Master. Eugene Rice,2,29.125,4,1
Yes,Male,Second,Mr. Charles Eugene Williams,23,13,0,0
No,Female,Third,Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,31,18,1,0
Yes,Female,Third,Mrs. Fatima Masselmani,22,7.225,0,0
No,Male,Second,Mr. Joseph J Fynney,35,26,0,0
Yes,Male,Second,Mr. Lawrence Beesley,34,13,0,0
Yes,Female,Third,Miss. Anna McGowan,15,8.0292,0,0
Yes,Male,First,Mr. William Thompson Sloper,28,35.5,0,0
No,Female,Third,Miss. Torborg Danira Palsson,8,21.075,3,1
Yes,Female,Third,Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,38,31.3875,1,5
No,Male,Third,Mr. Farred Chehab Emir,26,7.225,0,0
No,Male,First,Mr. Charles Alexander Fortune,19,263,3,2
Yes,Female,Third,Miss. Ellen O'Dwyer,24,7.8792,0,0
No,Male,Third,Mr. Lalio Todoroff,23,7.8958,0,0
No,Male,First,Don. Manuel E Uruchurtu,40,27.7208,0,0
Yes,Female,First,Mrs. William Augustus (Marie Eugenie) Spencer,48,146.5208,1,0
Yes,Female,Third,Miss. Mary Agatha Glynn,18,7.75,0,0
No,Male,Second,Mr. Edward H Wheadon,66,10.5,0,0
No,Male,First,Mr. Edgar Joseph Meyer,28,82.1708,1,0
No,Male,First,Mr. Alexander Oskar Holverson,42,52,1,0
Yes,Male,Third,Mr. Hanna Mamee,18,7.2292,0,0
No,Male,Third,Mr. Ernest Charles Cann,21,8.05,0,0
No,Female,Third,Miss. Augusta Maria Vander Planke,18,18,2,0
Yes,Female,Third,Miss. Jamila Nicola-Yarred,14,11.2417,1,0
No,Female,Third,Mrs. Johan (Johanna Persdotter Larsson) Ahlin,40,9.475,1,0
No,Female,Second,Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,27,21,1,0
Yes,Female,Second,Miss. Simonne Marie Anne Andree Laroche,3,41.5792,1,2
Yes,Female,Third,Miss. Margaret Delia Devaney,19,7.8792,0,0
No,Male,Third,Mr. William John Rogers,30,8.05,0,0
No,Male,Third,Mr. Denis Lennon,20,15.5,1,0
Yes,Female,Third,Miss. Bridget O'Driscoll,27,7.75,0,0
No,Male,Third,Mr. Youssef Samaan,16,21.6792,2,0
No,Female,Third,Mrs. Josef (Josefine Franchi) Arnold-Franchi,18,17.8,1,0
No,Male,Third,Master. Juha Niilo Panula,7,39.6875,4,1
No,Male,Third,Mr. Richard Cater Nosworthy,21,7.8,0,0
Yes,Female,First,Mrs. Henry Sleeper (Myna Haxtun) Harper,49,76.7292,1,0
Yes,Female,Second,Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,29,26,1,0
No,Male,First,Mr. Engelhart Cornelius Ostby,65,61.9792,0,1
Yes,Male,First,Mr. Hugh Woolner,46,35.5,0,0
Yes,Female,Second,Miss. Emily Rugg,21,10.5,0,0
No,Male,Third,Mr. Mansouer Novel,28.5,7.2292,0,0
Yes,Female,Second,Miss. Constance Mirium West,5,27.75,1,2
No,Male,Third,Master. William Frederick Goodwin,11,46.9,5,2
No,Male,Third,Mr. Orsen Sirayanian,22,7.2292,0,0
Yes,Female,First,Miss. Amelie Icard,38,80,0,0
No,Male,First,Mr. Henry Birkhardt Harris,45,83.475,1,0
No,Male,Third,Master. Harald Skoog,4,27.9,3,2
No,Male,First,Mr. Albert A Stewart,64,27.7208,0,0
Yes,Male,Third,Master. Gerios Moubarek,7,15.2458,1,1
Yes,Female,Second,Mrs. (Elizabeth Ramell) Nye,29,10.5,0,0
No,Male,Third,Mr. Ernest James Crease,19,8.1583,0,0
Yes,Female,Third,Miss. Erna Alexandra Andersson,17,7.925,4,2
No,Male,Third,Mr. Vincenz Kink,26,8.6625,2,0
No,Male,Second,Mr. Stephen Curnow Jenkin,32,10.5,0,0
No,Female,Third,Miss. Lillian Amy Goodwin,16,46.9,5,2
No,Male,Second,Mr. Ambrose Jr Hood,21,73.5,0,0
No,Male,Third,Mr. Apostolos Chronopoulos,26,14.4542,1,0
Yes,Male,Third,Mr. Lee Bing,32,56.4958,0,0
No,Male,Third,Mr. Sigurd Hansen Moen,25,7.65,0,0
No,Male,Third,Mr. Ivan Staneff,23,7.8958,0,0
No,Male,Third,Mr. Rahamin Haim Moutal,28,8.05,0,0
Yes,Male,Second,Master. Alden Gates Caldwell,0.83,29,0,2
Yes,Female,Third,Miss. Elizabeth Dowdell,30,12.475,0,0
No,Male,Third,Mr. Achille Waelens,22,9,0,0
Yes,Male,Third,Mr. Jan Baptist Sheerlinck,29,9.5,0,0
Yes,Female,Third,Miss. Brigdet Delia McDermott,31,7.7875,0,0
No,Male,First,Mr. Francisco M Carrau,28,47.1,0,0
Yes,Female,Second,Miss. Bertha Ilett,17,10.5,0,0
Yes,Female,Third,Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom,33,15.85,3,0
No,Male,Third,Mr. William Neal Ford,16,34.375,1,3
No,Male,Third,Mr. Selman Francis Slocovski,20,8.05,0,0
Yes,Female,First,Miss. Mabel Helen Fortune,23,263,3,2
No,Male,Third,Mr. Francesco Celotti,24,8.05,0,0
No,Male,Third,Mr. Emil Christmann,29,8.05,0,0
No,Male,Third,Mr. Paul Edvin Andreasson,20,7.8542,0,0
No,Male,First,Mr. Herbert Fuller Chaffee,46,61.175,1,0
No,Male,Third,Mr. Bertram Frank Dean,26,20.575,1,2
No,Male,Third,Mr. Daniel Coxon,59,7.25,0,0
No,Male,Third,Mr. Charles Joseph Shorney,22,8.05,0,0
No,Male,First,Mr. George B Goldschmidt,71,34.6542,0,0
Yes,Male,First,Mr. William Bertram Greenfield,23,63.3583,0,1
Yes,Female,Second,Mrs. John T (Ada Julia Bone) Doling,34,23,0,1
No,Male,Second,Mr. Sinai Kantor,34,26,1,0
No,Female,Third,Miss. Matilda Petranec,28,7.8958,0,0
No,Male,Third,Mr. Pastcho Petroff,29,7.8958,0,0
No,Male,First,Mr. Richard Frasar White,21,77.2875,0,1
No,Male,Third,Mr. Gustaf Joel Johansson,33,8.6542,0,0
No,Male,Third,Mr. Anders Vilhelm Gustafsson,37,7.925,2,0
No,Male,Third,Mr. Stoytcho Mionoff,28,7.8958,0,0
Yes,Female,Third,Miss. Anna Kristine Salkjelsvik,21,7.65,0,0
Yes,Male,Third,Mr. Albert Johan Moss,29,7.775,0,0
No,Male,Third,Mr. Tido Rekic,38,7.8958,0,0
Yes,Female,Third,Miss. Bertha Moran,28,24.15,1,0
No,Male,First,Mr. Walter Chamberlain Porter,47,52,0,0
No,Female,Third,Miss. Hileni Zabour,14.5,14.4542,1,0
No,Male,Third,Mr. David John Barton,22,8.05,0,0
No,Female,Third,Miss. Katriina Jussila,20,9.825,1,0
No,Female,Third,Miss. Malake Attalah,17,14.4583,0,0
No,Male,Third,Mr. Edvard Pekoniemi,21,7.925,0,0
No,Male,Third,Mr. Patrick Connors,70.5,7.75,0,0
No,Male,Second,Mr. William John Robert Turpin,29,21,1,0
No,Male,First,Mr. Quigg Edmond Baxter,24,247.5208,0,1
No,Female,Third,Miss. Ellis Anna Maria Andersson,2,31.275,4,2
No,Male,Second,Mr. Stanley George Hickman,21,73.5,2,0
No,Male,Third,Mr. Leonard Charles Moore,19,8.05,0,0
No,Male,Second,Mr. Nicholas Nasser,32.5,30.0708,1,0
Yes,Female,Second,Miss. Susan Webber,32.5,13,0,0
No,Male,First,Mr. Percival Wayland White,54,77.2875,0,1
Yes,Male,Third,Master. Elias Nicola-Yarred,12,11.2417,1,0
No,Male,Third,Mr. Martin McMahon,19,7.75,0,0
Yes,Male,Third,Mr. Fridtjof Arne Madsen,24,7.1417,0,0
Yes,Female,Third,Miss. Anna Peter,2,22.3583,1,1
No,Male,Third,Mr. Johan Ekstrom,45,6.975,0,0
No,Male,Third,Mr. Jozef Drazenoic,33,7.8958,0,0
No,Male,Third,Mr. Domingos Fernandeo Coelho,20,7.05,0,0
No,Female,Third,Mrs. Alexander A (Grace Charity Laury) Robins,47,14.5,1,0
Yes,Female,Second,Mrs. Leopold (Mathilde Francoise Pede) Weisz,29,26,1,0
No,Male,Second,Mr. Samuel James Hayden Sobey,25,13,0,0
No,Male,Second,Mr. Emile Richard,23,15.0458,0,0
Yes,Female,First,Miss. Helen Monypeny Newsom,19,26.2833,0,2
No,Male,First,Mr. Jacques Heath Futrelle,37,53.1,1,0
No,Male,Third,Mr. Olaf Elon Osen,16,9.2167,0,0
No,Male,First,Mr. Victor Giglio,24,79.2,0,0
No,Female,Third,Mrs. Joseph (Sultana) Boulos,40,15.2458,0,2
Yes,Female,Third,Miss. Anna Sofia Nysten,22,7.75,0,0
Yes,Female,Third,Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen,24,15.85,1,0
No,Male,Third,Mr. Jeremiah Burke,19,6.75,0,0
No,Male,Second,Mr. Edgardo Samuel Andrew,18,11.5,0,0
No,Male,Second,Mr. Joseph Charles Nicholls,19,36.75,1,1
Yes,Male,Third,Mr. August Edvard Andersson,27,7.7958,0,0
No,Female,Third,Miss. Robina Maggie Ford,9,34.375,2,2
No,Male,Second,Mr. Michel Navratil,36.5,26,0,2
No,Male,Second,Rev. Thomas Roussel Davids Byles,42,13,0,0
No,Male,Second,Rev. Robert James Bateman,51,12.525,0,0
Yes,Female,First,Mrs. Thomas (Edith Wearne) Pears,22,66.6,1,0
No,Male,Third,Mr. Alfonzo Meo,55.5,8.05,0,0
No,Male,Third,Mr. Austin Blyler van Billiard,40.5,14.5,0,2
No,Male,Third,Mr. Ole Martin Olsen,27,7.3125,0,0
No,Male,First,Mr. Charles Duane Williams,51,61.3792,0,1
Yes,Female,Third,Miss. Katherine Gilnagh,16,7.7333,0,0
No,Male,Third,Mr. Harry Corn,30,8.05,0,0
No,Male,Third,Mr. Mile Smiljanic,37,8.6625,0,0
No,Male,Third,Master. Thomas Henry Sage,5,69.55,8,2
No,Male,Third,Mr. John Hatfield Cribb,44,16.1,0,1
Yes,Female,Second,Mrs. James (Elizabeth Inglis Milne) Watt,40,15.75,0,0
No,Male,Third,Mr. John Viktor Bengtsson,26,7.775,0,0
No,Male,Third,Mr. Jovo Calic,17,8.6625,0,0
No,Male,Third,Master. Eino Viljami Panula,1,39.6875,4,1
Yes,Male,Third,Master. Frank John William Goldsmith,9,20.525,0,2
Yes,Female,First,Mrs. (Edith Martha Bowerman) Chibnall,48,55,0,1
No,Female,Third,Mrs. William (Anna Bernhardina Karlsson) Skoog,45,27.9,1,4
No,Male,First,Mr. John D Baumann,60,25.925,0,0
No,Male,Third,Mr. Lee Ling,28,56.4958,0,0
No,Male,First,Mr. Wyckoff Van der hoef,61,33.5,0,0
No,Male,Third,Master. Arthur Rice,4,29.125,4,1
Yes,Female,Third,Miss. Eleanor Ileen Johnson,1,11.1333,1,1
No,Male,Third,Mr. Antti Wilhelm Sivola,21,7.925,0,0
No,Male,First,Mr. James Clinch Smith,56,30.6958,0,0
No,Male,Third,Mr. Klas Albin Klasen,18,7.8542,1,1
No,Male,Third,Master. Henry Forbes Lefebre,5,25.4667,3,1
No,Female,First,Miss. Ann Elizabeth Isham,50,28.7125,0,0
No,Male,Second,Mr. Reginald Hale,30,13,0,0
No,Male,Third,Mr. Lionel Leonard,36,0,0,0
No,Female,Third,Miss. Constance Gladys Sage,8,69.55,8,2
No,Male,Second,Mr. Rene Pernot,39,15.05,0,0
No,Male,Third,Master. Clarence Gustaf Hugo Asplund,9,31.3875,4,2
Yes,Male,Second,Master. Richard F Becker,1,39,2,1
Yes,Female,Third,Miss. Luise Gretchen Kink-Heilmann,4,22.025,0,2
No,Male,First,Mr. Hugh Roscoe Rood,39,50,0,0
Yes,Female,Third,Mrs. Thomas (Johanna Godfrey) O'Brien,26,15.5,1,0
Yes,Male,First,Mr. Charles Hallace Romaine,45,26.55,0,0
No,Male,Third,Mr. John Bourke,40,15.5,1,1
No,Male,Third,Mr. Stjepan Turcin,36,7.8958,0,0
Yes,Female,Second,Mrs. (Rosa) Pinsky,32,13,0,0
No,Male,Second,Mr. William Carbines,19,13,0,0
Yes,Female,Third,Miss. Carla Christine Nielsine Andersen-Jensen,19,7.8542,1,0
Yes,Male,Second,Master. Michel M Navratil,3,26,1,1
Yes,Female,First,Mrs. James Joseph (Margaret Tobin) Brown,44,27.7208,0,0
Yes,Female,First,Miss. Elise Lurette,58,146.5208,0,0
No,Male,Third,Mr. Robert Mernagh,28,7.75,0,0
No,Male,Third,Mr. Karl Siegwart Andreas Olsen,42,8.4042,0,1
Yes,Female,Third,Miss. Margaret Madigan,21,7.75,0,0
No,Female,Second,Miss. Henriette Yrois,24,13,0,0
No,Male,Third,Mr. Nestor Cyriel Vande Walle,28,9.5,0,0
No,Male,Third,Mr. Frederick Sage,17,69.55,8,2
No,Male,Third,Mr. Jakob Alfred Johanson,34,6.4958,0,0
No,Male,Third,Mr. Gerious Youseff,45.5,7.225,0,0
Yes,Male,Third,Mr. Gurshon Cohen,18,8.05,0,0
No,Female,Third,Miss. Telma Matilda Strom,2,10.4625,0,1
No,Male,Third,Mr. Karl Alfred Backstrom,32,15.85,1,0
Yes,Male,Third,Mr. Nassef Cassem Albimona,26,18.7875,0,0
Yes,Female,Third,Miss. Helen Carr,16,7.75,0,0
Yes,Male,First,Mr. Henry Blank,40,31,0,0
No,Male,Third,Mr. Ahmed Ali,24,7.05,0,0
Yes,Female,Second,Miss. Clear Annie Cameron,35,21,0,0
No,Male,Third,Mr. John Henry Perkin,22,7.25,0,0
No,Male,Second,Mr. Hans Kristensen Givard,30,13,0,0
No,Male,Third,Mr. Philip Kiernan,22,7.75,1,0
Yes,Female,First,Miss. Madeleine Newell,31,113.275,1,0
Yes,Female,Third,Miss. Eliina Honkanen,27,7.925,0,0
No,Male,Second,Mr. Sidney Samuel Jacobsohn,42,27,1,0
Yes,Female,First,Miss. Albina Bazzani,32,76.2917,0,0
No,Male,Second,Mr. Walter Harris,30,10.5,0,0
Yes,Male,Third,Mr. Victor Francis Sunderland,16,8.05,0,0
No,Male,Second,Mr. James H Bracken,27,13,0,0
No,Male,Third,Mr. George Henry Green,51,8.05,0,0
No,Male,Third,Mr. Christo Nenkoff,22,7.8958,0,0
Yes,Male,First,Mr. Frederick Maxfield Hoyt,38,90,1,0
No,Male,Third,Mr. Karl Ivar Sven Berglund,22,9.35,0,0
Yes,Male,Second,Mr. William John Mellors,19,10.5,0,0
No,Male,Third,Mr. John Hall Lovell,20.5,7.25,0,0
No,Male,Second,Mr. Arne Jonas Fahlstrom,18,13,0,0
No,Female,Third,Miss. Mathilde Lefebre,12,25.4667,3,1
Yes,Female,First,Mrs. Henry Birkhardt (Irene Wallach) Harris,35,83.475,1,0
No,Male,Third,Mr. Bengt Edvin Larsson,29,7.775,0,0
No,Male,Second,Mr. Ernst Adolf Sjostedt,59,13.5,0,0
Yes,Female,Third,Miss. Lillian Gertrud Asplund,5,31.3875,4,2
No,Male,Second,Mr. Robert William Norman Leyson,24,10.5,0,0
No,Female,Third,Miss. Alice Phoebe Harknett,21,7.55,0,0
No,Male,Second,Mr. Stephen Hold,44,26,1,0
Yes,Female,Second,Miss. Marjorie Collyer,8,26.25,0,2
No,Male,Second,Mr. Frederick William Pengelly,19,10.5,0,0
No,Male,Second,Mr. George Henry Hunt,33,12.275,0,0
No,Female,Third,Miss. Thamine Zabour,19,14.4542,1,0
Yes,Female,Third,Miss. Katherine Murphy,18,15.5,1,0
No,Male,Second,Mr. Reginald Charles Coleridge,29,10.5,0,0
No,Male,Third,Mr. Matti Alexanteri Maenpaa,22,7.125,0,0
No,Male,Third,Mr. Sleiman Attalah,30,7.225,0,0
No,Male,First,Dr. William Edward Minahan,44,90,2,0
No,Female,Third,Miss. Agda Thorilda Viktoria Lindahl,25,7.775,0,0
Yes,Female,Second,Mrs. William (Anna) Hamalainen,24,14.5,0,2
Yes,Male,First,Mr. Richard Leonard Beckwith,37,52.5542,1,1
No,Male,Second,Rev. Ernest Courtenay Carter,54,26,1,0
No,Male,Third,Mr. James George Reed,18,7.25,0,0
No,Female,Third,Mrs. Wilhelm (Elna Matilda Persson) Strom,29,10.4625,1,1
No,Male,First,Mr. William Thomas Stead,62,26.55,0,0
No,Male,Third,Mr. William Arthur Lobb,30,16.1,1,0
No,Female,Third,Mrs. Viktor (Helena Wilhelmina) Rosblom,41,20.2125,0,2
Yes,Female,Third,Mrs. Darwis (Hanne Youssef Razi) Touma,29,15.2458,0,2
Yes,Female,First,Mrs. Gertrude Maybelle Thorne,38,79.2,0,0
Yes,Female,First,Miss. Gladys Cherry,30,86.5,0,0
Yes,Female,First,Miss. Anna Ward,35,512.3292,0,0
Yes,Female,Second,Mrs. (Lutie Davis) Parrish,50,26,0,1
Yes,Male,Third,Master. Edvin Rojj Felix Asplund,3,31.3875,4,2
No,Male,First,Mr. Emil Taussig,52,79.65,1,1
No,Male,First,Mr. William Harrison,40,0,0,0
No,Female,Third,Miss. Delia Henry,21,7.75,0,0
No,Male,Second,Mr. David Reeves,36,10.5,0,0
No,Male,Third,Mr. Ernesti Arvid Panula,16,39.6875,4,1
Yes,Male,Third,Mr. Ernst Ulrik Persson,25,7.775,1,0
Yes,Female,First,Mrs. William Thompson (Edith Junkins) Graham,58,153.4625,0,1
Yes,Female,First,Miss. Amelia Bissette,35,135.6333,0,0
No,Male,First,Mr. Alexander Cairns,28,31,0,0
Yes,Male,Third,Mr. William Henry Tornquist,25,0,0,0
Yes,Female,Second,Mrs. (Elizabeth Anne Maidment) Mellinger,41,19.5,0,1
No,Male,First,Mr. Charles H Natsch,37,29.7,0,1
Yes,Female,Third,Miss. Hanora Healy,33,7.75,0,0
Yes,Female,First,Miss. Kornelia Theodosia Andrews,63,77.9583,1,0
No,Female,Third,Miss. Augusta Charlotta Lindblom,45,7.75,0,0
No,Male,Second,Mr. Francis Parkes,21,0,0,0
No,Male,Third,Master. Eric Rice,7,29.125,4,1
Yes,Female,Third,Mrs. Stanton (Rosa Hunt) Abbott,35,20.25,1,1
No,Male,Third,Mr. Frank Duane,65,7.75,0,0
No,Male,Third,Mr. Nils Johan Goransson Olsson,28,7.8542,0,0
No,Male,Third,Mr. Alfons de Pelsmaeker,16,9.5,0,0
Yes,Male,Third,Mr. Edward Arthur Dorking,19,8.05,0,0
No,Male,First,Mr. Richard William Smith,57,26,0,0
No,Male,Third,Mr. Ivan Stankovic,33,8.6625,0,0
Yes,Male,Third,Mr. Theodore de Mulder,30,9.5,0,0
No,Male,Third,Mr. Penko Naidenoff,22,7.8958,0,0
Yes,Male,Second,Mr. Masabumi Hosono,42,13,0,0
Yes,Female,Third,Miss. Kate Connolly,22,7.75,0,0
Yes,Female,First,Miss. Ellen Barber,26,78.85,0,0
Yes,Female,First,Mrs. Dickinson H (Helen Walton) Bishop,19,91.0792,1,0
No,Male,Second,Mr. Rene Jacques Levy,36,12.875,0,0
No,Female,Third,Miss. Aloisia Haas,24,8.85,0,0
No,Male,Third,Mr. Ivan Mineff,24,7.8958,0,0
No,Male,First,Mr. Ervin G Lewy,30,27.7208,0,0
No,Male,Third,Mr. Mansour Hanna,23.5,7.2292,0,0
